date,volume_m3,melt_on_glacier_monthly,liq_prcp_on_glacier_monthly,melt_off_glacier_monthly,liq_prcp_off_glacier_monthly,all_runoff_on_glacier,all_runoff_off_glacier,basin_runoff
1989-07,251580084.8373465,3052330077.57138,135073321.1995917,911896957.0293795,32419859.92208354,3187403398.770972,67167214.27027822,3254570613.04125
1989-08,251580084.8373465,3142905391.3540006,327575558.2356677,133063337.13012926,78623621.73064543,3470480949.5896683,15056835.872018613,3485537785.461687
1989-09,251580084.8373465,2236958716.5325365,83109816.11223088,17136900.090024583,19947748.175431643,2320068532.6447673,2637750.8813462425,2322706283.5261135
1989-10,251580084.8373465,126330104.35565102,3841890.6677218704,144972279.63076127,58277455.41077842,130171995.02337289,14456714.376838272,144628709.40021116
1989-11,251580084.8373465,3.386214438401711e-07,0.0,8.119960100864315e-08,0.0,3.386214438401711e-07,5.77555212583804e-09,3.4439699596600915e-07
1989-12,251580084.8373465,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990-01,249699797.83517456,3.379064285406064e-07,0.0,8.160921478878744e-08,0.0,3.379064285406064e-07,5.8046870687355185e-09,3.437111156093419e-07
1990-02,249699797.83517456,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990-03,249699797.83517456,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990-04,249699797.83517456,8.44766071351516e-08,0.0,38642136.44319834,0.0,8.44766071351516e-08,2748531.649283373,2748531.649283457
1990-05,249699797.83517456,188696441.6836453,17266889.846422575,195822476.26784647,50988254.549854904,205963331.5300679,17555113.859513715,223518445.38958162
1990-06,249699797.83517456,1601456190.4238436,569815957.010886,575513581.8556886,149872008.9022045,2171272147.4347296,51595109.31966387,2222867256.7543936
1990-07,249699797.83517456,3952034922.386067,96549433.89463034,1143211821.4042993,23318614.418681465,4048584356.2806973,82972788.7179525,4131557144.99865
1990-08,249699797.83517456,3816403653.319178,455262097.18217134,406257178.46836936,109954878.81593642,4271665750.5013494,36717047.963255994,4308382798.464605
1990-09,249699797.83517456,2505531300.3543477,40483231.37224609,21755553.305956088,9777508.0050902,2546014531.726594,2242878.499733134,2548257410.226327
1990-10,249699797.83517456,0.0,0.0,17905999.132400718,0.0,0.0,1273615.0186671857,1273615.0186671857
1990-11,249699797.83517456,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990-12,249699797.83517456,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991-01,253568331.59624916,0.0,0.0,0.0,0.0,0.0,0.0,0.0
