geometry,elevation
POINT (643788.1863490704 5357429.820711046),868.68567
POINT (643788.1863490704 5357529.820711046),857.1078
POINT (643788.1863490704 5357629.820711046),870.98004
POINT (643788.1863490704 5357729.820711046),886.44977
POINT (643788.1863490704 5357829.820711046),919.6481
POINT (643788.1863490704 5357929.820711046),945.4971
POINT (643788.1863490704 5358029.820711046),1003.4286
POINT (643788.1863490704 5358129.820711046),1043.4543
POINT (643788.1863490704 5358229.820711046),1084.6295
POINT (643788.1863490704 5358329.820711046),1105.089
POINT (643788.1863490704 5358429.820711046),1135.5668
POINT (643788.1863490704 5358529.820711046),1215.4591
POINT (643788.1863490704 5358629.820711046),1283.5739
POINT (643788.1863490704 5358729.820711046),1353.1744
POINT (643788.1863490704 5358829.820711046),1437.5228
POINT (643788.1863490704 5358929.820711046),1411.5549
POINT (643788.1863490704 5359029.820711046),1331.5471
POINT (643788.1863490704 5359129.820711046),1333.2947
POINT (643888.1863490704 5356629.820711046),1080.0042
POINT (643888.1863490704 5356729.820711046),1034.0127
POINT (643888.1863490704 5356929.820711046),975.7766
POINT (643888.1863490704 5357029.820711046),964.1267
POINT (643888.1863490704 5357129.820711046),932.8582
POINT (643888.1863490704 5357229.820711046),902.2543
POINT (643888.1863490704 5357329.820711046),886.5754
POINT (643888.1863490704 5357429.820711046),882.78656
POINT (643888.1863490704 5357529.820711046),876.23694
POINT (643888.1863490704 5357629.820711046),870.1008
POINT (643888.1863490704 5357729.820711046),865.8417
POINT (643888.1863490704 5357829.820711046),879.8898
POINT (643888.1863490704 5357929.820711046),917.4902
POINT (643888.1863490704 5358029.820711046),958.0489
POINT (643888.1863490704 5358129.820711046),996.13074
POINT (643888.1863490704 5358229.820711046),1027.2018
POINT (643888.1863490704 5358329.820711046),1032.576
POINT (643888.1863490704 5358429.820711046),1075.4813
POINT (643888.1863490704 5358529.820711046),1136.2231
POINT (643888.1863490704 5358629.820711046),1193.6561
POINT (643888.1863490704 5358729.820711046),1276.1263
POINT (643888.1863490704 5358829.820711046),1368.1796
POINT (643888.1863490704 5358929.820711046),1374.1012
POINT (643888.1863490704 5359029.820711046),1289.5763
POINT (643988.1863490704 5356629.820711046),1135.3577
POINT (643988.1863490704 5356729.820711046),1090.0715
POINT (643988.1863490704 5356829.820711046),1054.5665
POINT (643988.1863490704 5356929.820711046),1036.1428
POINT (643988.1863490704 5357029.820711046),1009.9389
POINT (643988.1863490704 5357129.820711046),976.8868
POINT (643988.1863490704 5357229.820711046),945.79
POINT (643988.1863490704 5357329.820711046),922.07904
POINT (643988.1863490704 5357429.820711046),911.10394
POINT (643988.1863490704 5357529.820711046),902.56384
POINT (643988.1863490704 5357629.820711046),893.4231
POINT (643988.1863490704 5357729.820711046),877.80334
POINT (643988.1863490704 5357829.820711046),888.50653
POINT (643988.1863490704 5357929.820711046),889.2838
POINT (643988.1863490704 5358029.820711046),923.16394
POINT (643988.1863490704 5358129.820711046),952.9706
POINT (643988.1863490704 5358229.820711046),966.4775
POINT (643988.1863490704 5358329.820711046),989.9814
POINT (643988.1863490704 5358429.820711046),1030.122
POINT (643988.1863490704 5358529.820711046),1083.5507
POINT (643988.1863490704 5358629.820711046),1121.2576
POINT (643988.1863490704 5358729.820711046),1199.1045
POINT (643988.1863490704 5358829.820711046),1313.0775
POINT (643988.1863490704 5358929.820711046),1304.6632
POINT (644088.1863490704 5356629.820711046),1181.2651
POINT (644088.1863490704 5356729.820711046),1148.0615
POINT (644088.1863490704 5356829.820711046),1110.487
POINT (644088.1863490704 5356929.820711046),1093.5442
POINT (644088.1863490704 5357029.820711046),1052.955
POINT (644088.1863490704 5357129.820711046),1019.7588
POINT (644088.1863490704 5357229.820711046),981.7745
POINT (644088.1863490704 5357329.820711046),948.04095
POINT (644088.1863490704 5357429.820711046),937.0486
POINT (644088.1863490704 5357529.820711046),920.9566
POINT (644088.1863490704 5357629.820711046),904.9456
POINT (644088.1863490704 5357729.820711046),900.56537
POINT (644088.1863490704 5357829.820711046),885.29877
POINT (644088.1863490704 5357929.820711046),888.18115
POINT (644088.1863490704 5358029.820711046),902.08716
POINT (644088.1863490704 5358129.820711046),908.2122
POINT (644088.1863490704 5358229.820711046),928.8497
POINT (644088.1863490704 5358329.820711046),949.5909
POINT (644088.1863490704 5358429.820711046),990.2635
POINT (644088.1863490704 5358529.820711046),1026.1252
POINT (644088.1863490704 5358629.820711046),1068.3434
POINT (644088.1863490704 5358729.820711046),-32767.0
POINT (644088.1863490704 5358829.820711046),1260.3397
POINT (644188.1863490704 5356529.820711046),1285.042
POINT (644188.1863490704 5356629.820711046),1234.7816
POINT (644188.1863490704 5356729.820711046),1210.9844
POINT (644188.1863490704 5356829.820711046),1177.758
POINT (644188.1863490704 5356929.820711046),1137.2972
