X_CRS3413	Y_CRS3413	Z
-4573641.616315427	-1135552.7618806998	1731.8579225654
-4573617.611401035	-1135661.1214078376	1753.672499985
-4573593.605846883	-1135769.4807701607	1786.7517918482
-4573569.599652974	-1135877.8399676539	1877.5534293106
-4573677.272088522	-1134878.6005843792	1808.7310673969
-4573653.27117747	-1134986.9604602112	1727.7369886107
-4573629.269626647	-1135095.320171349	1685.8217355178
-4573605.267436063	-1135203.6797177757	1657.0031861207
-4573581.264605718	-1135312.0390994686	1656.7412747796
-4573557.26113562	-1135420.3983164118	1669.4618750078
-4573533.257025771	-1135528.7573685844	1697.4004098008
-4573509.252276177	-1135637.1162559672	1728.4266580261
-4573485.246886843	-1135745.4749785452	1760.0726968669
-4573461.240857775	-1135853.8335362945	1816.9990948633
-4573568.912450234	-1134854.6000755478	1789.7472000452
-4573544.911703862	-1134962.9593116196	1721.4136380578
-4573520.91031774	-1135071.3183830003	1680.2061344862
-4573496.908291874	-1135179.6772896743	1652.36191459
-4573472.90562627	-1135288.0360316208	1676.6800222937
-4573448.902320929	-1135396.3946088213	1688.5359671888
-4573424.898375859	-1135504.7530212568	1693.2286706152
-4573400.893791061	-1135613.111268907	1714.1955857633
-4573376.888566542	-1135721.4693517552	1755.4676609204
-4573352.882702308	-1135829.8272697795	1820.3475159119
-4573460.553451698	-1134830.5997313855	1774.6980903958
-4573436.552870004	-1134938.958327715	1715.941756537
-4573412.5516485805	-1135047.3167593605	1687.8571970137
-4573388.549787429	-1135155.6750262997	1668.4232495002
-4573364.54728656	-1135264.0331285186	1703.7262241557
-4573340.544145972	-1135372.3910659961	1717.884711594
-4573316.540365673	-1135480.7488387115	1720.00447052
-4573292.535945667	-1135589.1064466492	1730.0086102511
-4573268.530885957	-1135697.463889787	1777.800933225
-4573352.195092899	-1134806.5995518898	1775.3233245641
-4573328.194675877	-1134914.9575084965	1724.5978903721
-4573304.193619144	-1135023.3153004218	1702.8565181573
-4573280.191922705	-1135131.6729276504	1686.0497872761
-4573256.189586563	-1135240.0303901585	1721.9721488577
-4573232.186610724	-1135348.3876879313	1747.1706954661
-4573208.182995195	-1135456.744820949	1753.9081433971
-4573184.178739973	-1135565.1017891904	1750.2711119664
-4573160.173845071	-1135673.4585926381	1791.5198553067
-4573243.8373738155	-1134782.5995370562	1750.0522323507
-4573219.83712146	-1134890.956853957	1707.1251150632
-4573195.836229415	-1134999.3140061838	1686.4833352472
-4573171.8346976815	-1135107.6709937172	1686.3880771569
-4573147.832526265	-1135216.027816537	1717.8779785351
-4573123.82971517	-1135324.384474624	1740.3115178149
-4573099.826264403	-1135432.7409679582	1738.3528146439
-4573075.822173964	-1135541.0972965243	1724.9009454641
-4573051.8174438635	-1135649.4534603013	1768.4806617977
-4573135.480294426	-1134758.599686876	1747.1695365587
-4573111.480206735	-1134866.9563640936	1695.5777951122
-4573087.4794793725	-1134975.3128766401	1661.6222306386
-4573063.478112339	-1135083.6692244972	1667.6808350757
-4573039.4761056425	-1135192.0254076456	1703.9835656267
-4573015.473459288	-1135300.3814260666	1730.3920801261
-4572991.470173279	-1135408.7372797397	1728.6022374664
-4572967.46624762	-1135517.092968648	1731.6453737554
-4573003.1239316845	-1134842.9560388997	1685.6086014447
-4572979.123368998	-1134951.3119117867	1640.8007716166
-4572955.122166663	-1135059.6676199858	1656.2525190296
-4572931.120324684	-1135168.0231634835	1690.148093217
-4572883.114721808	-1135384.733756287	1704.7791399624
-4572859.11096092	-1135493.088805556	1716.3320047063
-4572870.767898273	-1134927.3111116155	1647.8524472409
-4572846.766860629	-1135035.6661801795	1652.2466478238
-4572822.765183362	-1135144.0210840413	1661.5468063714
-4572762.413067181	-1134903.3104761278	1643.7020050649
-4572738.412194225	-1135011.6649050703	1642.9905048914
-4572714.410681663	-1135120.0191693197	1641.6892882905
-4572654.058875697	-1134879.3100053137	1644.5342397833
